Source,Target,Type,Weight
A1187,A1390,Undirected,1
A1618,A1695,Undirected,1
A3281,A4227,Undirected,1
A3445,A4798,Undirected,1
A1262,A5450,Undirected,1
A2012,A3050,Undirected,1
A1280,A3445,Undirected,1
A3612,A3701,Undirected,1
A1294,A3206,Undirected,1
A357,A1515,Undirected,1
A3593,A4870,Undirected,1
A2427,A4503,Undirected,1
A1637,A5336,Undirected,1
A4217,A4409,Undirected,1
A1804,A1898,Undirected,1
A2656,A5071,Undirected,1
A255,A2430,Undirected,1
A444,A1460,Undirected,1
A2275,A5418,Undirected,1
A1840,A3932,Undirected,1
A5014,A5418,Undirected,1
A3270,A4991,Undirected,1
A3962,A4593,Undirected,1
A4058,A5397,Undirected,1
